City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,12.09,43,75,3.6,CA,1686764699
1,ribeira grande,38.5167,-28.7,21.22,88,20,7.6,PT,1686764614
2,fuyang,32.9,115.8167,25.86,44,0,3.29,CN,1686765080
3,vikasnagar,30.4683,77.775,29.96,44,83,1.94,IN,1686765081
4,bethel,41.3712,-73.414,25.86,63,20,5.14,US,1686764479
5,pisco,-13.7,-76.2167,22.03,64,75,1.54,PE,1686764496
6,hawaiian paradise park,19.5933,-154.9731,22.24,95,100,3.09,US,1686764634
7,edinburgh of the seven seas,-37.0676,-12.3116,14.55,76,65,12.35,SH,1686764604
8,vadso,70.0744,29.7487,14.49,54,0,9.26,NO,1686764773
9,kerikeri,-35.2268,173.9474,6.9,90,36,0.67,NZ,1686764701
10,general acha,-37.377,-64.6043,16.59,20,85,9.01,AR,1686765083
11,roma,43.2128,-75.4557,17.07,93,100,2.57,US,1686764650
12,andujar,38.0392,-4.0508,32.05,26,30,2.78,ES,1686765084
13,port-aux-francais,-49.35,70.2167,7.05,99,100,10.5,TF,1686764604
14,tarawa,1.419,172.984,28.54,78,47,5.91,KI,1686765085
15,rabigh,22.7986,39.0349,34.42,39,3,6.8,SA,1686765085
16,talnakh,69.4865,88.3972,6.23,82,32,3.36,RU,1686764379
17,adamstown,-25.066,-130.1015,20.72,68,19,6.16,PN,1686764605
18,arar,30.9753,41.0381,35.01,12,0,3.09,SA,1686765013
19,ta`u,-14.2336,-169.5144,26.98,80,100,6.25,AS,1686764869
20,papatowai,-46.5619,169.4708,5.42,80,100,1.44,NZ,1686764658
21,tocopilla,-22.092,-70.1979,17.55,72,1,7.38,CL,1686764484
22,port elizabeth,-33.918,25.5701,15.61,62,0,12.35,ZA,1686764718
23,bredasdorp,-34.5322,20.0403,12.5,69,93,6.43,ZA,1686764634
24,klaksvik,62.2266,-6.589,15.51,84,100,3.68,FO,1686765088
25,bel ombre,-4.6167,55.4167,26.91,74,20,2.57,SC,1686764668
26,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,87,0,1.0,RU,1686764736
27,bani walid,31.7566,13.9942,35.8,17,52,6.84,LY,1686765089
28,longyearbyen,78.2186,15.6401,1.91,80,75,9.77,SJ,1686764628
29,leer,53.2316,7.461,20.99,73,70,4.11,DE,1686765090
30,margaret river,-33.95,115.0667,15.7,71,98,8.49,AU,1686764348
31,puerto natales,-51.7236,-72.4875,7.25,61,20,5.66,CL,1686764306
32,torbat-e heydariyeh,35.274,59.2195,27.51,13,5,5.66,IR,1686765093
33,tromso,69.6496,18.957,11.32,76,40,8.75,NO,1686765093
34,kununurra,-15.7667,128.7333,14.99,88,85,0.0,AU,1686764702
35,waitangi,-43.9535,-176.5597,10.46,77,98,10.61,NZ,1686764601
36,pasuquin,18.3328,120.6177,26.97,94,75,0.51,PH,1686765094
37,mastung,29.7994,66.845,24.35,57,2,4.31,PK,1686765095
38,la gi,10.6667,107.7833,26.97,83,97,3.59,VN,1686765095
39,udachny,66.4167,112.4,6.92,100,100,5.18,RU,1686764752
40,berdigestyakh,62.0989,126.6992,8.22,77,37,3.82,RU,1686765095
41,yellowknife,62.456,-114.3525,14.29,67,75,4.63,CA,1686764634
42,veraval,20.9,70.3667,28.84,84,69,13.56,IN,1686764978
43,ust-nera,64.5667,143.2,10.22,83,33,1.48,RU,1686764697
44,badger,64.8,-147.5333,11.67,70,75,4.63,US,1686764667
45,sayre,41.979,-76.5155,17.58,88,99,1.6,US,1686765013
46,sandnessjoen,66.0217,12.6316,15.29,71,20,4.12,NO,1686765097
47,bilibino,68.0546,166.4372,0.81,69,82,1.06,RU,1686764627
48,angaur state,6.906,134.13,27.96,77,100,2.55,PW,1686765098
49,tiksi,71.6872,128.8694,0.27,82,100,3.03,RU,1686764662
50,cao bang,22.6667,106.25,25.01,92,99,0.63,VN,1686765099
51,namibe,-15.1961,12.1522,18.21,84,22,3.11,AO,1686764633
52,albany,42.6001,-73.9662,21.23,72,100,2.32,US,1686764620
53,ed damer,17.5928,33.9592,39.88,16,69,0.49,SD,1686765114
54,amahai,-3.3333,128.9167,27.22,89,100,0.84,ID,1686765114
55,grytviken,-54.2811,-36.5092,-3.75,91,46,2.55,GS,1686764601
56,ushuaia,-54.8,-68.3,5.81,65,40,2.57,AR,1686764386
57,savelugu,9.6244,-0.8253,29.93,58,94,2.49,GH,1686765115
58,nar'yan-mar,67.6713,53.087,4.86,73,93,6.13,RU,1686764614
59,mount isa,-20.7333,139.5,12.87,38,37,2.06,AU,1686764730
60,utrik,11.2278,169.8474,27.52,81,90,9.82,MH,1686764371
61,iqaluit,63.7506,-68.5145,3.85,75,75,7.72,CA,1686764382
62,blackmans bay,-43.0167,147.3167,5.29,88,39,1.72,AU,1686764663
63,rosalie,15.3667,-61.2667,32.75,52,40,5.66,DM,1686765116
64,mata-utu,-13.2816,-176.1745,27.46,82,53,9.38,WF,1686764853
65,crane,31.3974,-102.3501,35.34,8,79,5.57,US,1686764614
66,calvinia,-31.4707,19.776,9.33,97,100,5.62,ZA,1686765116
67,alaghsas,17.0187,8.0168,38.94,24,20,3.09,NE,1686764741
68,san juan,-31.5375,-68.5364,16.41,18,16,1.54,AR,1686764979
69,tura,25.5198,90.2201,25.52,85,70,3.73,IN,1686764615
70,ancud,-41.8697,-73.8203,8.92,98,100,1.27,CL,1686764666
71,badiyah,22.45,58.8,33.09,36,100,1.76,OM,1686765117
72,santa terezinha,-29.9002,-50.0904,15.39,84,100,6.12,BR,1686764802
73,kapa'a,22.0752,-159.319,26.22,91,100,7.2,US,1686764745
74,puerto ayora,-0.7393,-90.3518,29.98,88,97,6.26,EC,1686764614
75,lebu,-37.6167,-73.65,13.46,64,85,3.74,CL,1686764659
76,lhokseumawe,5.1801,97.1507,27.04,82,84,0.57,ID,1686765118
